5.0 0.0 0.035 -0.035 0.0
# T[GeV] y Γ_s[GeV] Γ̄_s[GeV] s[GeV^3] H[GeV] P[GeV^4] dtdT[GeV^-2] Va[GeV] Vabar[GeV]
1.0000000000e-02 8.6121e+00 1.628e-16 2.053e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 8.7727e+00 1.657e-16 2.084e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 8.9333e+00 1.690e-16 2.125e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.0939e+00 1.724e-16 2.164e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.2545e+00 1.759e-16 2.204e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.4152e+00 1.798e-16 2.254e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.5758e+00 1.835e-16 2.298e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.7364e+00 1.865e-16 2.328e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 9.8970e+00 1.898e-16 2.366e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0058e+01 1.931e-16 2.408e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0218e+01 1.968e-16 2.447e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0379e+01 2.006e-16 2.495e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0539e+01 2.045e-16 2.545e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0700e+01 2.077e-16 2.574e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.0861e+01 2.110e-16 2.611e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1021e+01 2.145e-16 2.655e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1182e+01 2.181e-16 2.691e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1342e+01 2.219e-16 2.737e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1503e+01 2.262e-16 2.794e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1664e+01 2.293e-16 2.822e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1824e+01 2.326e-16 2.857e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.1985e+01 2.362e-16 2.901e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2145e+01 2.398e-16 2.938e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2306e+01 2.436e-16 2.982e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2467e+01 2.478e-16 3.036e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2627e+01 2.513e-16 3.071e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2788e+01 2.546e-16 3.105e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.2948e+01 2.581e-16 3.147e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3109e+01 2.618e-16 3.186e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
1.0000000000e-02 1.3270e+01 2.656e-16 3.228e-16 5.026e-06 4.756e-23 9.999e-09 -1.981e+24 2.902e-12 -2.902e-12
